Calendar Year,Fishery,Species Category,Species (or group),Number of vessels with observer data ,Observed Mortalities (number),Observed Live Releases,Number of sets observed,Observed Interactions (number),Observed Interaction Rate (per set),Observed Mortality rate (per set),LATITUDE (5° cell),LONGITUDE (5° cell)
2018,S,SHK,WHALE SHARK,21,0,1,169,1,0.00591716,0,-2.5,-152.5
2018,S,SHK,WHALE SHARK,32,0,1,144,1,0.006944444,0,-2.5,142.5
2018,S,SHK,WHALE SHARK,91,0,12,987,12,0.012158055,0,-2.5,147.5
2018,S,SHK,WHALE SHARK,134,0,12,1710,12,0.007017544,0,-2.5,152.5
2018,S,SHK,WHALE SHARK,127,0,8,1661,10,0.00602047,0,-2.5,157.5
2018,S,SHK,WHALE SHARK,121,0,9,1112,9,0.008093525,0,-2.5,162.5
2018,S,SHK,WHALE SHARK,143,0,15,4611,18,0.003903709,0,-2.5,167.5
2018,S,SHK,WHALE SHARK,120,0,3,1562,4,0.002560819,0,-2.5,172.5
2018,S,SHK,WHALE SHARK,116,0,1,1499,1,0.000667111,0,-2.5,177.5
2018,S,SHK,WHALE SHARK,13,0,4,89,4,0.04494382,0,2.5,132.5
2018,S,SHK,WHALE SHARK,41,0,4,2185,4,0.001830664,0,2.5,137.5
2018,S,SHK,WHALE SHARK,107,0,54,2030,54,0.026600985,0,2.5,142.5
2018,S,SHK,WHALE SHARK,125,0,52,2368,52,0.021959459,0,2.5,147.5
2018,S,SHK,WHALE SHARK,137,0,37,2142,37,0.017273576,0,2.5,152.5
2018,S,SHK,WHALE SHARK,130,0,13,1532,14,0.009138381,0,2.5,157.5
2018,S,SHK,WHALE SHARK,137,0,5,1085,5,0.004608295,0,2.5,162.5
2018,S,SHK,WHALE SHARK,147,1,9,2829,10,0.003534818,0.000353482,2.5,167.5
2018,S,SHK,WHALE SHARK,27,0,3,123,3,0.024390244,0,7.5,137.5
2018,S,SHK,WHALE SHARK,57,1,27,688,28,0.040697674,0.001453488,7.5,142.5
2018,S,SHK,WHALE SHARK,79,0,4,971,4,0.004119464,0,7.5,147.5
2018,S,SHK,WHALE SHARK,21,0,1,36,1,0.027777778,0,7.5,157.5
2018,S,SHK,WHALE SHARK,22,0,1,40,1,0.025,0,7.5,162.5
2018,S,SHK,WHALE SHARK,15,0,1,40,1,0.025,0,7.5,172.5
2019,S,SHK,WHALE SHARK,61,0,6,457,6,0.013129103,0,-7.5,-177.5
2019,S,SHK,WHALE SHARK,61,0,1,573,1,0.001745201,0,-7.5,-167.5
2019,S,SHK,WHALE SHARK,48,0,2,459,2,0.004357298,0,-7.5,-162.5
2019,S,SHK,WHALE SHARK,34,0,6,139,6,0.043165468,0,-7.5,152.5
2019,S,SHK,WHALE SHARK,36,0,3,194,4,0.020618557,0,-7.5,157.5
2019,S,SHK,WHALE SHARK,41,0,1,158,1,0.006329114,0,-7.5,162.5
2019,S,SHK,WHALE SHARK,51,0,1,325,1,0.003076923,0,-7.5,167.5
